Cell 01,Cell 02,Cell 03,Cell 04,Cell 05,Cell 06,Cell 07,Cell 08,Cell 09,Cell 10,Cell 11,Cell 12
1.168080,1.249920,0.900240,1.138320,0.967200,1.004400,1.257360,0.930000,0.922560,1.056480,1.004400,0.937440
0.930000,0.967200,1.212720,0.996960,0.982080,0.892800,0.937440,0.974640,0.989520,1.019280,0.996960,0.937440
1.004400,0.952320,0.892800,1.049040,1.004400,1.026720,1.011840,0.982080,1.212720,1.034160,1.004400,1.116000
0.952320,1.249920,1.004400,1.011840,0.959760,1.212720,0.937440,0.952320,0.959760,1.093680,1.249920,1.272240
1.049040,0.967200,1.227600,1.056480,0.922560,0.944880,0.959760,1.049040,1.004400,1.004400,0.944880,1.004400
0.959760,0.922560,0.974640,1.264800,0.982080,1.056480,0.996960,1.041600,0.959760,0.952320,0.952320,0.996960
0.982080,0.930000,1.190400,0.996960,0.944880,0.989520,1.034160,1.004400,1.205280,0.996960,0.959760,0.922560
0.944880,0.989520,1.264800,0.915120,1.205280,0.959760,0.944880,0.930000,0.937440,1.339200,1.004400,0.982080
1.212720,1.257360,1.004400,1.004400,1.108560,0.944880,0.989520,1.272240,0.982080,0.967200,0.967200,0.959760
0.840720,1.264800,0.989520,1.078800,0.944880,1.257360,0.930000,0.982080,1.011840,1.041600,0.989520,0.959760
1.294560,0.907680,0.982080,,0.959760,1.004400,1.004400,1.011840,1.279680,1.093680,1.041600,0.996960
0.967200,0.944880,0.974640,,0.989520,0.974640,0.982080,1.227600,0.937440,1.056480,0.952320,1.272240
0.989520,0.989520,1.182960,,0.900240,1.093680,0.877920,1.019280,1.011840,,0.959760,
,0.937440,1.026720,,1.212720,0.989520,0.915120,0.937440,0.959760,,1.004400,
,0.996960,1.011840,,1.004400,0.989520,1.063920,0.959760,1.220160,,0.907680,
,0.944880,0.989520,,0.930000,0.952320,1.019280,1.279680,1.220160,,1.034160,
,0.959760,0.922560,,0.974640,1.041600,0.930000,1.160640,,,1.242480,
,,,,1.257360,1.011840,1.041600,0.967200,,,0.885360,
,,,,1.309440,,0.930000,1.205280,,,0.930000,
,,,,1.294560,,0.937440,1.197840,,,0.915120,
,,,,0.967200,,1.011840,,,,0.892800,
,,,,0.907680,,0.959760,,,,1.019280,
,,,,0.900240,,0.967200,,,,,
,,,,1.205280,,1.011840,,,,,
,,,,0.885360,,,,,,,
,,,,0.915120,,,,,,,
,,,,0.937440,,,,,,,
,,,,0.974640,,,,,,,
,,,,1.011840,,,,,,,
