Cell 01,Cell 02,Cell 03,Cell 04,Cell 05,Cell 06,Cell 07,Cell 08,Cell 09,Cell 10,Cell 11,Cell 12
1.071360,1.004400,1.175520,1.004400,1.101120,0.937440,0.996960,0.967200,0.937440,1.034160,1.034160,1.071360
1.034160,0.959760,0.952320,1.019280,1.004400,0.959760,1.257360,1.041600,1.004400,0.907680,1.235040,1.138320
1.078800,1.004400,1.011840,0.982080,1.011840,1.004400,1.004400,0.967200,1.220160,1.309440,1.019280,1.026720
1.242480,1.056480,1.041600,1.212720,1.034160,0.989520,1.004400,1.019280,1.287120,0.952320,0.944880,1.011840
1.071360,1.175520,1.004400,0.974640,0.959760,1.294560,1.041600,1.227600,0.974640,1.019280,0.974640,1.063920
1.242480,0.982080,1.026720,1.242480,0.974640,1.212720,0.989520,0.974640,1.123440,0.922560,0.944880,1.197840
1.011840,0.915120,1.019280,1.026720,1.004400,1.011840,1.056480,1.019280,0.982080,1.354080,1.056480,1.026720
0.989520,1.019280,0.959760,1.197840,1.034160,0.915120,0.944880,1.249920,1.004400,0.930000,0.922560,0.967200
1.197840,0.974640,1.056480,0.967200,0.974640,0.989520,1.026720,1.257360,0.974640,0.959760,0.996960,0.967200
1.041600,1.212720,1.220160,1.227600,1.220160,1.041600,1.168080,1.011840,0.922560,1.004400,0.967200,1.302000
1.205280,0.952320,1.235040,1.019280,0.944880,0.974640,1.004400,0.974640,1.063920,1.026720,0.982080,0.967200
0.982080,1.093680,0.937440,1.101120,0.982080,1.287120,0.937440,0.967200,1.182960,0.937440,1.049040,1.249920
1.212720,1.235040,0.952320,1.168080,1.026720,1.101120,0.989520,0.989520,1.309440,1.212720,1.227600,1.294560
1.272240,1.197840,0.922560,0.952320,1.004400,1.264800,1.071360,1.123440,0.952320,1.011840,1.182960,0.982080
1.034160,1.242480,1.145760,1.034160,1.011840,1.011840,0.996960,1.011840,0.930000,1.264800,0.863040,1.063920
1.011840,1.242480,0.930000,1.316880,1.182960,1.182960,1.004400,1.182960,1.197840,0.915120,1.019280,0.974640
1.086240,1.019280,1.041600,1.056480,1.011840,1.026720,0.982080,1.011840,0.930000,0.959760,0.959760,1.197840
1.019280,0.930000,1.242480,0.937440,0.982080,0.900240,1.004400,1.056480,1.249920,1.011840,1.227600,0.952320
1.130880,1.034160,1.034160,0.944880,0.937440,0.907680,0.996960,0.982080,1.220160,1.004400,,0.974640
1.272240,0.982080,0.974640,0.989520,1.279680,1.235040,0.937440,0.937440,1.019280,1.063920,,1.235040
0.982080,1.242480,0.996960,0.952320,1.041600,0.996960,0.996960,1.249920,0.989520,1.056480,,0.967200
1.049040,0.967200,1.056480,0.959760,0.959760,0.915120,0.974640,1.153200,0.952320,0.989520,,1.019280
1.034160,1.041600,0.982080,1.004400,0.982080,1.011840,1.063920,0.996960,,0.989520,,1.056480
1.011840,0.974640,1.078800,1.011840,0.996960,1.071360,1.130880,,,0.982080,,0.996960
0.974640,1.212720,0.959760,1.004400,0.974640,0.863040,0.967200,,,1.011840,,1.011840
,1.049040,0.967200,0.974640,1.197840,0.974640,1.034160,,,1.272240,,1.287120
,,,0.915120,,,1.034160,,,1.071360,,1.063920
,,,0.937440,,,1.004400,,,,,
,,,1.197840,,,0.944880,,,,,
,,,0.989520,,,1.227600,,,,,
,,,0.959760,,,,,,,,
,,,1.026720,,,,,,,,
,,,1.160640,,,,,,,,
