Cell 01,Cell 02,Cell 03,Cell 04,Cell 05,Cell 06,Cell 07,Cell 08,Cell 09,Cell 10,Cell 11,Cell 12
1.004400,1.056480,1.220160,0.996960,1.056480,1.011840,0.952320,1.257360,1.130880,1.034160,1.257360,1.004400
0.922560,1.004400,1.019280,0.982080,1.220160,1.026720,1.011840,1.101120,0.967200,0.959760,0.996960,1.160640
1.153200,1.004400,0.959760,0.974640,1.071360,1.309440,0.974640,1.197840,0.930000,1.034160,1.019280,1.063920
1.056480,0.944880,0.967200,0.974640,1.026720,0.930000,1.264800,1.078800,1.019280,1.034160,1.011840,0.996960
1.004400,1.272240,1.056480,1.182960,1.205280,1.279680,0.930000,0.982080,1.026720,1.004400,1.175520,1.049040
1.190400,0.982080,0.996960,0.989520,1.190400,1.011840,1.011840,1.257360,0.974640,1.019280,1.049040,1.011840
1.026720,0.996960,1.011840,1.004400,1.138320,0.989520,0.982080,0.996960,1.011840,1.197840,1.220160,1.197840
1.026720,0.989520,1.249920,1.063920,1.049040,1.182960,0.959760,1.004400,0.982080,1.034160,0.944880,1.004400
1.153200,1.063920,1.212720,0.989520,0.996960,1.019280,0.915120,0.952320,0.989520,1.220160,1.019280,0.944880
1.264800,1.004400,1.123440,1.026720,1.026720,1.272240,1.011840,0.885360,0.959760,1.004400,1.227600,1.041600
1.034160,1.041600,0.982080,0.959760,1.004400,1.011840,1.220160,1.004400,1.190400,1.294560,1.063920,1.049040
1.019280,1.212720,1.116000,1.101120,1.249920,1.242480,0.989520,0.944880,1.205280,0.959760,1.011840,0.937440
0.982080,1.279680,1.197840,1.190400,0.989520,0.989520,0.989520,0.907680,0.982080,0.967200,1.034160,1.205280
1.175520,0.989520,0.982080,1.026720,1.019280,0.907680,0.922560,0.982080,0.996960,1.264800,1.235040,1.026720
0.982080,1.078800,1.264800,0.974640,1.197840,0.974640,0.930000,1.235040,1.004400,1.011840,1.205280,1.026720
1.205280,0.937440,1.049040,0.959760,1.004400,0.952320,1.249920,1.049040,1.041600,1.264800,1.019280,1.026720
1.019280,0.989520,1.011840,0.967200,1.272240,1.041600,1.242480,0.915120,1.071360,1.011840,0.996960,1.026720
1.011840,0.974640,1.011840,1.227600,1.004400,0.930000,0.989520,0.959760,0.952320,0.989520,,1.041600
1.063920,0.959760,0.959760,0.982080,0.989520,1.220160,0.937440,1.041600,1.227600,1.063920,,0.885360
1.182960,0.937440,1.272240,,1.063920,1.160640,0.959760,1.063920,0.944880,0.959760,,1.257360
1.019280,1.071360,1.034160,,1.205280,0.870480,0.922560,1.019280,1.011840,1.264800,,1.190400
1.287120,0.996960,1.130880,,1.026720,0.952320,,1.190400,1.019280,0.959760,,1.056480
0.996960,0.974640,1.019280,,1.019280,1.182960,,1.168080,0.930000,1.175520,,1.011840
1.011840,0.915120,0.967200,,0.982080,0.974640,,,0.974640,1.004400,,0.959760
0.922560,1.235040,1.078800,,,0.952320,,,0.967200,,,1.235040
1.063920,0.944880,,,,1.019280,,,0.952320,,,1.056480
1.116000,0.959760,,,,0.974640,,,0.974640,,,0.944880
,1.197840,,,,1.294560,,,0.989520,,,1.004400
,1.093680,,,,0.967200,,,1.056480,,,1.071360
,1.026720,,,,,,,,,,1.004400
,0.959760,,,,,,,,,,0.944880
,1.019280,,,,,,,,,,1.302000
,1.041600,,,,,,,,,,1.019280
